"agegrp","sex","number_of_new_comers_cycle52","number_of_new_comers_cycle104","number_of_new_comers_cycle156"
"10_11","Male",10.9416081649765,5.57139381333732,44.5690044135692
"10_11","Female",5.77444169952992,2.38296104903019,12.9092398104834
"12_13","Male",10.9416081649765,5.57139381333732,44.5690044135692
"12_13","Female",5.77444169952992,2.38296104903019,12.9092398104834
"14_15","Male",10.9416081649765,5.57139381333732,44.5690044135692
"14_15","Female",5.77444169952992,2.38296104903019,12.9092398104834
"16_17","Male",10.9416081649765,5.57139381333732,44.5690044135692
"16_17","Female",5.77444169952992,2.38296104903019,12.9092398104834
"18_19","Male",10.9416081649765,5.57139381333732,44.5690044135692
"18_19","Female",5.77444169952992,2.38296104903019,12.9092398104834
"20_21","Male",26.6029168334434,10.828833795161,57.556128023814
"20_21","Female",9.06651270535052,4.88429813289344,36.7222115875891
"22_23","Male",26.6029168334434,10.828833795161,57.556128023814
"22_23","Female",9.06651270535052,4.88429813289344,36.7222115875891
"24_25","Male",19.2943061214922,8.19239362806438,51.96796539092
"24_25","Female",6.34442810345034,3.1974396365227,32.5651637753143
"26_27","Male",11.985695409541,5.5559534609678,46.379802758026
"26_27","Female",3.62234350155016,1.51058114015197,28.4081159630395
"28_29","Male",11.985695409541,5.5559534609678,46.379802758026
"28_29","Female",3.62234350155016,1.51058114015197,28.4081159630395
"30_31","Male",11.985695409541,5.5559534609678,46.379802758026
"30_31","Female",3.62234350155016,1.51058114015197,28.4081159630395
"32_33","Male",11.985695409541,5.5559534609678,46.379802758026
"32_33","Female",3.62234350155016,1.51058114015197,28.4081159630395
"34_35","Male",6.73684864945161,3.26177443806238,26.5129435021741
"34_35","Female",2.10237975776244,1.08468475395921,15.586495427288
"36_37","Male",1.48800188936227,0.967595415156968,6.64608424632224
"36_37","Female",0.582416013974732,0.658788367766448,2.7648748915364
"38_39","Male",1.48800188936227,0.967595415156968,6.64608424632224
"38_39","Female",0.582416013974732,0.658788367766448,2.7648748915364
"40_41","Male",1.48800188936227,0.967595415156968,6.64608424632224
"40_41","Female",0.582416013974732,0.658788367766448,2.7648748915364
"42_43","Male",1.48800188936227,0.967595415156968,6.64608424632224
"42_43","Female",0.582416013974732,0.658788367766448,2.7648748915364
"44_45","Male",1.48800188936227,0.967595415156968,6.64608424632224
"44_45","Female",0.582416013974732,0.658788367766448,2.7648748915364
"46_47","Male",1.48800188936227,0.967595415156968,6.64608424632224
"46_47","Female",0.582416013974732,0.658788367766448,2.7648748915364
"48_49","Male",1.48800188936227,0.967595415156968,6.64608424632224
"48_49","Female",0.582416013974732,0.658788367766448,2.7648748915364
"50_51","Male",0,0.084407259620076,0.237545589272846
"50_51","Female",0,0,0
"52_53","Male",0,0.084407259620076,0.237545589272846
"52_53","Female",0,0,0
"54_55","Male",0,0.084407259620076,0.237545589272846
"54_55","Female",0,0,0
"56_57","Male",0,0.084407259620076,0.237545589272846
"56_57","Female",0,0,0
"58_59","Male",0,0.084407259620076,0.237545589272846
"58_59","Female",0,0,0
"60_61","Male",0,0.084407259620076,0.237545589272846
"60_61","Female",0,0,0
"62_63","Male",0,0.084407259620076,0.237545589272846
"62_63","Female",0,0,0
"64_65","Male",0,0.084407259620076,0.237545589272846
"64_65","Female",0,0,0
"66_67","Male",0,0.084407259620076,0.237545589272846
"66_67","Female",0,0,0
"68_69","Male",0,0.084407259620076,0.237545589272846
"68_69","Female",0,0,0
"70_71","Male",0,0.084407259620076,0.237545589272846
"70_71","Female",0,0,0
"72_73","Male",0,0.084407259620076,0.237545589272846
"72_73","Female",0,0,0
"74_75","Male",0,0.084407259620076,0.237545589272846
"74_75","Female",0,0,0
"76_77","Male",0,0.084407259620076,0.237545589272846
"76_77","Female",0,0,0
"78_79","Male",0,0.084407259620076,0.237545589272846
"78_79","Female",0,0,0
"80_81","Male",0,0.084407259620076,0.237545589272846
"80_81","Female",0,0,0
"82_83","Male",0,0.084407259620076,0.237545589272846
"82_83","Female",0,0,0
"84_85","Male",0,0.084407259620076,0.237545589272846
"84_85","Female",0,0,0
"86_87","Male",0,0.084407259620076,0.237545589272846
"86_87","Female",0,0,0
"88_89","Male",0,0.084407259620076,0.237545589272846
"88_89","Female",0,0,0
"90_91","Male",0,0.084407259620076,0.237545589272846
"90_91","Female",0,0,0
"92_93","Male",0,0.084407259620076,0.237545589272846
"92_93","Female",0,0,0
"94_95","Male",0,0.084407259620076,0.237545589272846
"94_95","Female",0,0,0
"96_97","Male",0,0.084407259620076,0.237545589272846
"96_97","Female",0,0,0
"98_99","Male",0,0.084407259620076,0.237545589272846
"98_99","Female",0,0,0
