agegrp,sex,number_of_new_comers_cycle52,number_of_new_comers_cycle104,number_of_new_comers_cycle156
10_14,Male,8.59732543894388,24.5119785885323,121.527163657782
10_14,Female,4.53724477887787,10.4841072392521,35.1998730909172
15_19,Male,8.59732543894388,24.5119785885323,121.527163657782
15_19,Female,4.53724477887787,10.4841072392521,35.1998730909172
20_24,Male,20.9031369240924,47.6426817092581,156.939404007166
20_24,Female,7.12397658085809,21.4890232614477,100.131162367224
25_29,Male,9.41771287128713,24.4440470081484,126.464702417141
25_29,Female,2.84624211221122,6.64597294756049,77.4609575258645
30_34,Male,9.41771287128713,24.4440470081484,126.464702417141
30_34,Female,2.84624211221122,6.64597294756049,77.4609575258645
35_39,Male,1.16919161276128,4.25704570405919,18.1220060558568
35_39,Female,0.457631084708471,2.89841409638073,7.53903767558106
40_44,Male,1.16919161276128,4.25704570405919,18.1220060558568
40_44,Female,0.457631084708471,2.89841409638073,7.53903767558106
45_49,Male,1.16919161276128,4.25704570405919,18.1220060558568
45_49,Female,0.457631084708471,2.89841409638073,7.53903767558106
50_54,Male,0,0.37135930609878,0.64772013832457
50_54,Female,0,0,0
55_59,Male,0,0.37135930609878,0.64772013832457
55_59,Female,0,0,0
60_64,Male,0,0.37135930609878,0.64772013832457
60_64,Female,0,0,0
65_69,Male,0,0.37135930609878,0.64772013832457
65_69,Female,0,0,0
70_74,Male,0,0.37135930609878,0.64772013832457
70_74,Female,0,0,0
75_79,Male,0,0.37135930609878,0.64772013832457
75_79,Female,0,0,0
80_84,Male,0,0.37135930609878,0.64772013832457
80_84,Female,0,0,0
85_89,Male,0,0.37135930609878,0.64772013832457
85_89,Female,0,0,0
90_94,Male,0,0.37135930609878,0.64772013832457
90_94,Female,0,0,0
95_99,Male,0,0.37135930609878,0.64772013832457
95_99,Female,0,0,0
