Buprenorphine,Naltrexone,Methadone,Corrections,section,diaspora
0,0,0,0,0,0
827.305013407548,111.936383310175,250.871204456081,82.2959003019606,0,0
818.808274058123,110.650328813256,248.246778444786,81.1157380549536,0,0
811.794117638991,109.531325434322,246.075639193265,80.2043459807217,0,0
805.923029227837,108.544600243898,244.253507829968,79.510094854392,0,0
800.942921266105,107.664180241118,242.703221108787,78.9915081549267,0,0
796.661926645675,106.870094030925,241.366214980752,78.6148342323057,0,0
792.931835743564,106.146704063867,240.197351455159,78.3524520857665,0,0
789.637232625047,105.4816330634,239.161539301877,78.1817209481375,0,0
786.687876249725,104.865020621149,238.231375804342,78.0840903265208,0,0
784.013080815924,104.288977930996,237.385415603386,78.0443822521276,0,0
781.55743340537,103.74717216232,236.606856863347,78.0502004184685,0,0
779.277470950588,103.234502545283,235.882525064031,78.0914400014221,0,0
777.139079839252,102.746845169946,235.202079796334,78.1598805557616,0,0
775.115455647745,102.280851099166,234.557393669933,78.2488485273808,0,0
773.185503041469,101.833786580187,233.942066029022,78.3529382602883,0,0
771.332583151628,101.403406718385,233.351042824803,78.4677820094484,0,0
769.54353514321,100.98785576252,232.780320094329,78.589860811211,0,0
767.807913551494,100.585588504147,232.226713127579,78.7163492490592,0,0
766.117394808008,100.19530837326,231.687677070792,78.8449882170206,0,0
764.465315958672,99.8159186918611,231.161167666088,78.9739807290646,0,0
762.846316339753,99.4464842664861,230.645533211022,79.1019066492232,0,0
761.256059234644,99.0862010863055,230.139430738963,79.227652927165,0,0
759.691015540804,98.7343723663191,229.641760952513,79.350356525322,0,0
758.148295450643,98.3903895538924,229.151617656478,79.4693577273076,0,0
756.625517282642,98.0537172178175,228.668248392855,79.5841619355032,0,0
755.120705052718,97.7238809765957,228.191023728444,79.6944084106208,0,0
753.63220828777,97.400457809062,227.719413227992,79.7998446892726,0,0
752.158639067051,97.0830682361491,227.252966597227,79.9003056473763,0,0
750.698822424487,96.7713699760397,226.791298828833,79.9956963665463,0,0
749.25175713053,96.4650527631121,226.334078453198,80.0859781150444,0,0
747.816584554084,96.16383408945,225.88101820244,80.1711568807506,0,0
746.392563829679,95.8674556806887,225.431867555021,80.2512739962167,0,0
744.979051958633,95.5756805590228,224.986406750142,80.3263984795172,0,0
743.575487783022,95.2882905780285,224.544441954702,80.3966207828268,0,0
742.181379009962,95.0050843386357,224.105801337385,80.4620476963387,0,0
740.796291647225,94.7258754147577,223.670331859621,80.5227982006031,0,0
739.419841352761,94.4504908319961,223.237896635579,80.5790000975356,0,0
738.051686309745,94.17876975447,222.808372745977,80.6307872807464,0,0
736.691521323117,93.9105623438929,222.381649415673,80.6782975307354,0,0
735.339072898832,93.6457287621407,221.957626484409,80.7216707408913,0,0
733.994095117667,93.3841382941444,221.536213115146,80.7610474969624,0,0
732.656366154769,93.1256685723465,221.11732669607,80.7965679463888,0,0
731.325685326819,92.8702048874483,220.700891901423,80.8283709051626,0,0
730.001870572623,92.6176395729414,220.286839883399,80.8565931591429,0,0
728.684756291801,92.3678714531298,219.875107572847,80.8813689243736,0,0
727.374191480915,92.1208053461082,219.465637070903,80.9028294372157,0,0
726.070038118129,91.8763516145945,219.058375117057,80.9211026502708,0,0
724.772169756639,91.634425758653,218.653272621887,80.936313014315,0,0
723.480470294515,91.3949480452872,218.25028425482,80.9485813299712,0,0
722.194832894345,91.1578431706373,217.849368079003,80.9580246557257,0,0
720.915159030865,90.9230399511453,217.450485226735,80.9647562612787,0,0
719.641357648405,90.6904710405647,217.053599609987,80.9688856171795,0,0
718.373344413114,90.4600726701211,216.658677661469,80.9705184133121,0,0
717.111041047323,90.2317844094846,216.265688102386,80.9697566001347,0,0
715.854374735442,90.0055489465154,215.874601733632,80.9666984476756,0,0
714.603277592425,89.7813118839957,215.485391247659,80.9614386181958,0,0
713.357686187171,89.5590215517728,215.098031058634,80.9540682491788,0,0
712.117541114366,89.338628832924,214.71249714887,80.9446750439239,0,0
710.882786609159,89.1200870027047,214.328766929729,80.9333433675288,0,0
709.653370199877,88.9033515791799,213.946819115503,80.9201543464681,0,0
708.429242394593,88.6883801845529,213.566633608897,80.9051859703171,0,0
707.21035639794,88.4751324163055,213.188191396963,80.8885131944579,0,0
705.996667854968,88.2635697273526,212.811474456442,80.8702080428351,0,0
704.788134619291,88.053655314494,212.436465667594,80.850339710024,0,0
703.584716543075,87.8453540145088,212.063148735715,80.828974662029,0,0
702.386375286687,87.6386322073024,211.69150811961,80.8061767353616,0,0
701.193074146103,87.433457725567,211.321528966379,80.7820072340519,0,0
700.004777896368,87.229799770468,210.953197051943,80.7565250243328,0,0
698.821452649583,87.0276288329026,210.586498726781,80.72978662681,0,0
697.643065726063,86.826916619927,210.221420866424,80.7018463059839,0,0
696.469585537442,86.6276359859715,209.857950826272,80.6727561570389,0,0
695.300981480636,86.4297608685015,209.496076400367,80.6425661898518,0,0
694.13722384167,86.2332662278052,209.135785783764,80.6113244101999,0,0
692.978283708477,86.0381279906191,208.777067538198,80.579076898176,0,0
691.82413289188,85.8443229973191,208.419910560759,80.5458678838333,0,0
690.674743854001,85.6518289524326,208.064304055313,80.5117398201004,0,0
689.530089643453,85.4606243782395,207.710237506446,80.4767334530166,0,0
688.390143836728,85.2706885712532,207.3577006557,80.4408878893472,0,0
687.25488048519,85.082001561385,207.006683479921,80.4042406616446,0,0
686.124274067227,84.8945440736101,206.657176171534,80.3668277908251,0,0
684.998299445075,84.7082974919683,206.309169120574,80.3286838463365,0,0
683.876931825921,84.5232438257425,205.962652898342,80.2898420039904,0,0
682.760146726887,84.3393656776745,205.617618242531,80.2503341015374,0,0
681.647919943577,84.1566462140781,205.274056043711,80.2101906920606,0,0
680.540227521846,83.9750691367306,204.931957333044,80.169441095266,0,0
679.437045732536,83.7946186564243,204.591313271142,80.1281134467425,0,0
678.338351048874,83.6152794680709,204.252115137952,80.0862347452691,0,0
677.244120126326,83.4370367272595,203.914354323599,80.0438308982402,0,0
676.154329784683,83.2598760281751,203.578022320087,80.0009267652803,0,0
675.068956992152,83.0837833827898,203.243110713801,79.957546200119,0,0
673.987978851303,82.9087452012477,202.90961117873,79.9137120907912,0,0
672.911372586674,82.7347482733666,202.577515470351,79.8694463982301,0,0
671.839115533894,82.5617797511886,202.246815420123,79.8247701933145,0,0
670.771185130192,82.3898271325113,201.917502930525,79.7797036924322,0,0
669.707558906129,82.2188782453421,201.589569970606,79.7342662916178,0,0
668.648214478468,82.0489212332149,201.263008571987,79.6884765993225,0,0
667.593129544071,81.8799445413193,200.937810825288,79.6423524678694,0,0
666.542281874692,81.7119369033909,200.613968876929,79.5959110236483,0,0
665.495649312611,81.544887329317,200.291474926282,79.5491686960988,0,0
664.453209767018,81.3787850934138,199.970321223136,79.5021412455328,0,0
663.414941211045,81.2136197233347,199.650500065451,79.4548437898405,0,0
662.380821679418,81.0493809895732,199.332003797367,79.407290830127,0,0
661.350829266636,80.8860588955225,199.014824807452,79.3594962753214,0,0
660.324942125618,80.7236436680605,198.698955527159,79.3114734658004,0,0
